,TEAM_NAME,TEAM_ID,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TM_TOV_PCT_RANK,E_PACE_RANK
0,Washington Wizards,1610612764,36,14,22,0.389,1733.0,107.4,112.0,-4.6,106.3,17.4,0.204,0.769,0.48,0.133,21,25,22,25,24,21,27,23,20,22,22,25,8,1
1,Golden State Warriors,1610612744,38,19,19,0.5,1829.0,107.2,107.2,0.0,105.4,19.4,0.175,0.763,0.472,0.141,3,12,16,15,9,22,6,12,2,29,27,29,20,2
2,Minnesota Timberwolves,1610612750,37,8,29,0.216,1791.0,103.4,110.9,-7.5,104.3,17.8,0.221,0.753,0.476,0.139,11,30,30,30,14,27,23,29,17,18,30,28,15,3
3,Houston Rockets,1610612745,36,11,25,0.306,1733.0,102.8,108.2,-5.4,104.2,16.2,0.19,0.773,0.468,0.14,21,28,27,28,24,29,10,26,28,26,19,30,19,4
4,Milwaukee Bucks,1610612749,37,23,14,0.622,1776.0,115.1,108.4,6.6,103.5,18.4,0.235,0.798,0.525,0.131,11,7,6,7,19,4,12,3,11,11,4,3,6,5
5,Chicago Bulls,1610612741,36,16,20,0.444,1743.0,109.4,110.3,-0.9,103.4,18.6,0.211,0.795,0.509,0.154,21,20,18,20,23,16,17,20,9,20,5,13,29,6
6,Philadelphia 76ers,1610612755,38,26,12,0.684,1839.0,110.9,106.0,4.9,103.4,16.9,0.241,0.783,0.521,0.149,3,2,3,3,5,13,3,7,25,7,13,5,26,6
7,Memphis Grizzlies,1610612763,34,17,17,0.5,1637.0,108.2,107.3,0.9,102.9,19.0,0.242,0.793,0.511,0.135,29,17,11,15,30,19,7,10,7,6,7,11,12,8
8,Sacramento Kings,1610612758,37,15,22,0.405,1781.0,111.7,116.6,-4.9,102.6,18.5,0.234,0.757,0.49,0.133,11,24,22,24,16,9,30,25,10,12,29,19,7,9
9,Brooklyn Nets,1610612751,38,25,13,0.658,1849.0,117.3,110.9,6.4,102.5,19.3,0.213,0.778,0.511,0.139,3,3,4,4,3,1,24,4,3,19,14,9,16,10
10,Indiana Pacers,1610612754,36,16,20,0.444,1748.0,108.5,108.6,-0.1,102.3,18.9,0.197,0.771,0.483,0.134,21,20,18,20,21,18,13,14,8,23,20,23,11,11
11,Charlotte Hornets,1610612766,36,18,18,0.5,1733.0,109.6,110.4,-0.8,102.2,19.2,0.24,0.762,0.497,0.149,21,16,13,15,24,15,18,19,4,8,28,17,27,12
12,Oklahoma City Thunder,1610612760,38,16,22,0.421,1839.0,102.9,108.4,-5.4,102.1,17.1,0.17,0.785,0.48,0.141,3,20,22,22,5,28,11,26,22,30,11,26,21,13
13,Toronto Raptors,1610612761,37,17,20,0.459,1776.0,111.0,109.4,1.7,102.1,18.3,0.21,0.766,0.48,0.135,11,17,18,18,19,12,15,9,12,21,24,27,13,13
14,San Antonio Spurs,1610612759,34,19,15,0.559,1642.0,107.9,107.9,-0.1,101.6,18.2,0.189,0.784,0.481,0.109,29,12,8,10,29,20,9,14,14,27,12,24,1,15
15,New Orleans Pelicans,1610612740,38,16,22,0.421,1834.0,113.1,113.8,-0.7,101.1,18.2,0.276,0.8,0.537,0.138,3,20,22,22,8,8,28,18,13,1,3,1,14,16
16,Orlando Magic,1610612753,38,13,25,0.342,1829.0,103.4,110.4,-7.1,101.1,16.6,0.223,0.803,0.502,0.13,3,27,27,27,9,26,19,28,26,17,1,14,5,16
17,Utah Jazz,1610612762,37,28,9,0.757,1781.0,115.1,105.8,9.3,101.1,17.4,0.25,0.786,0.529,0.142,11,1,1,1,16,3,2,1,21,5,10,2,23,16
18,Los Angeles Lakers,1610612747,38,25,13,0.658,1849.0,108.9,103.5,5.4,101.0,17.8,0.23,0.801,0.521,0.148,3,3,4,4,3,17,1,6,16,13,2,4,25,19
19,Atlanta Hawks,1610612737,37,17,20,0.459,1786.0,111.1,110.9,0.2,100.9,17.5,0.256,0.776,0.518,0.141,11,17,18,18,15,10,25,11,19,2,16,6,22,20
20,Portland Trail Blazers,1610612757,36,21,15,0.583,1733.0,113.3,114.2,-0.9,100.8,15.1,0.23,0.764,0.489,0.115,21,9,8,9,24,7,29,20,30,14,26,20,2,21
21,Boston Celtics,1610612738,37,19,18,0.514,1781.0,110.5,110.5,0.0,100.5,16.4,0.254,0.776,0.511,0.139,11,12,13,13,16,14,20,12,27,3,15,10,17,22
22,Dallas Mavericks,1610612742,36,19,17,0.528,1733.0,111.0,111.1,-0.1,100.5,17.1,0.192,0.775,0.487,0.122,21,12,11,11,24,11,26,14,23,25,18,21,3,22
23,Cleveland Cavaliers,1610612739,37,14,23,0.378,1801.0,102.4,110.7,-8.4,100.0,16.9,0.25,0.766,0.501,0.156,11,25,26,26,12,30,22,30,24,4,23,15,30,24
24,LA Clippers,1610612746,39,25,14,0.641,1872.0,116.1,109.0,7.1,99.8,18.1,0.227,0.794,0.518,0.134,1,3,6,6,1,2,14,2,15,15,6,7,9,25
25,Detroit Pistons,1610612765,37,10,27,0.27,1806.0,105.8,110.5,-4.7,99.8,17.7,0.223,0.765,0.486,0.143,11,29,29,29,11,25,21,24,18,16,25,22,24,25
26,Miami Heat,1610612748,38,20,18,0.526,1839.0,106.1,107.1,-1.0,99.8,19.0,0.18,0.77,0.49,0.153,3,10,13,12,5,24,5,22,5,28,21,18,28,25
27,Denver Nuggets,1610612743,37,22,15,0.595,1801.0,114.1,109.8,4.3,99.5,19.0,0.238,0.776,0.511,0.134,11,8,8,8,12,5,16,8,6,9,17,12,10,28
28,Phoenix Suns,1610612756,36,25,11,0.694,1748.0,113.5,107.5,6.0,99.0,19.8,0.196,0.787,0.5,0.129,21,3,2,2,21,6,8,5,1,24,9,16,4,29
29,New York Knicks,1610612752,39,20,19,0.513,1872.0,106.7,107.0,-0.3,98.3,16.1,0.235,0.792,0.516,0.14,1,10,16,14,1,23,4,17,29,10,8,8,18,30
