,VH_x,Team_V,Final_V,O/U,ML_V,VH_y,Team_H,Final_H,line,ML_H
0,0,GoldenState,99,228.0,265,1,Brooklyn,125,5.5,-320
1,0,LAClippers,116,223.0,115,1,LALakers,109,2.5,-135
2,0,Charlotte,114,215.0,-140,1,Cleveland,121,-1.0,120
3,0,NewYork,107,214.5,270,1,Indiana,121,8.5,-330
4,0,Miami,107,220.5,-190,1,Orlando,113,-220.5,170
5,0,Washington,107,229.0,250,1,Philadelphia,113,7.5,-300
6,0,Milwaukee,121,226.0,-190,1,Boston,122,-226.0,170
7,0,NewOrleans,113,230.0,150,1,Toronto,99,5.0,-170
8,0,Atlanta,124,227.0,-130,1,Chicago,104,-227.0,110
9,0,SanAntonio,131,231.5,110,1,Memphis,119,3.0,-130
10,0,Detroit,101,227.0,190,1,Minnesota,111,5.5,-220
11,0,Sacramento,124,224.5,260,1,Denver,122,8.0,-310
12,0,Utah,120,229.0,-130,1,Portland,100,-1.5,110
13,0,Dallas,102,237.0,100,1,Phoenix,106,0.0,-120
14,0,NewOrleans,98,229.0,130,1,Miami,111,5.0,-150
15,0,GoldenState,99,233.5,450,1,Milwaukee,138,8.5,-600
16,0,Brooklyn,123,227.0,-145,1,Boston,95,-0.0,125
17,0,Dallas,115,230.0,225,1,LALakers,138,6.5,-265
18,0,LAClippers,121,222.0,-160,1,Denver,108,-222.0,140
19,0,Atlanta,122,237.5,120,1,Memphis,112,237.5,-140
20,0,Cleveland,128,220.0,-110,1,Detroit,119,3.0,-110
21,0,Orlando,130,228.5,110,1,Washington,120,1.0,-130
22,0,OklahomaCity,109,218.5,125,1,Charlotte,107,3.0,-145
23,0,Philadelphia,109,219.0,-360,1,NewYork,89,-219.0,300
24,0,Indiana,125,222.5,-240,1,Chicago,106,-222.5,200
25,0,Toronto,114,225.5,-145,1,SanAntonio,119,-225.5,125
26,0,Minnesota,116,225.5,375,1,Utah,111,8.0,-450
27,0,Phoenix,103,230.0,-160,1,Sacramento,106,-230.0,140
28,0,Houston,126,225.0,300,1,Portland,128,8.5,-360
29,0,Dallas,124,230.0,140,1,LAClippers,73,4.5,-160
30,0,SanAntonio,95,226.5,170,1,NewOrleans,98,5.5,-190
31,0,Orlando,120,225.5,-130,1,Washington,113,-1.5,110
32,0,Brooklyn,104,224.0,-600,1,Charlotte,106,-224.0,450
33,0,Philadelphia,94,218.5,-240,1,Cleveland,118,-218.5,200
34,0,Milwaukee,110,223.5,-1200,1,NewYork,130,-223.5,750
35,0,Boston,107,219.0,-135,1,Indiana,108,-3.0,115
36,0,GoldenState,129,226.0,-165,1,Chicago,128,-226.0,145
37,0,Phoenix,116,224.5,-160,1,Sacramento,100,-224.5,140
38,0,Minnesota,91,224.0,400,1,LALakers,127,11.0,-500
39,0,Memphis,116,235.0,-125,1,Brooklyn,111,-7.0,105
40,0,Detroit,120,226.5,400,1,Atlanta,128,8.5,-500
41,0,Utah,110,221.0,-400,1,OklahomaCity,109,-221.0,330
42,0,Houston,111,225.5,225,1,Denver,124,9.0,-265
43,0,Portland,115,227.5,195,1,LALakers,107,4.5,-230
44,0,Boston,116,220.0,-105,1,Indiana,111,220.0,-115
45,0,Chicago,115,232.5,210,1,Washington,107,4.5,-250
46,0,GoldenState,116,222.5,-170,1,Detroit,106,-222.5,150
47,0,Toronto,93,218.5,105,1,Philadelphia,100,0.0,-125
48,0,NewYork,95,219.5,140,1,Cleveland,86,4.5,-160
49,0,Milwaukee,144,222.5,-240,1,Miami,97,-222.5,200
50,0,Orlando,118,219.5,-250,1,OklahomaCity,107,-219.5,210
51,0,Minnesota,101,229.5,475,1,LAClippers,124,6.5,-650
52,0,NewOrleans,86,223.0,105,1,Phoenix,111,3.0,-125
53,0,Denver,115,223.5,-110,1,Sacramento,125,223.5,-110
54,0,Memphis,107,224.0,245,1,Boston,126,8.5,-285
55,0,Milwaukee,108,227.5,-260,1,Miami,119,-227.5,220
56,0,Atlanta,141,240.0,195,1,Brooklyn,145,6.5,-230
57,0,Charlotte,118,223.5,300,1,Dallas,99,8.5,-360
58,0,LALakers,121,229.5,-310,1,SanAntonio,107,-229.5,260
59,0,Portland,105,229.0,190,1,LAClippers,128,3.5,-220
60,0,Cleveland,99,217.0,270,1,Indiana,119,8.5,-330
61,0,Chicago,133,234.5,250,1,Washington,130,5.0,-300
62,0,Philadelphia,116,217.0,-175,1,Orlando,92,-217.0,155
63,0,Sacramento,119,227.0,180,1,Houston,122,3.0,-210
64,0,NewYork,83,217.5,300,1,Toronto,100,9.5,-360
65,0,NewOrleans,113,214.5,-200,1,OklahomaCity,80,-214.5,175
66,0,Phoenix,106,220.0,150,1,Utah,95,4.0,-170
67,0,Boston,93,215.5,-370,1,Detroit,96,-215.5,310
68,0,Miami,83,222.5,-115,1,Dallas,93,1.0,-105
69,0,Memphis,108,220.0,160,1,Charlotte,93,2.0,-180
70,0,Atlanta,114,247.0,210,1,Brooklyn,96,6.0,-250
71,0,Washington,130,232.5,-110,1,Minnesota,109,1.0,-110
72,0,LALakers,109,230.5,-340,1,SanAntonio,103,-230.5,280
73,0,Chicago,96,230.0,850,1,Milwaukee,126,14.0,-1500
74,0,Phoenix,106,225.0,140,1,Denver,103,4.5,-160
75,0,LAClippers,100,225.5,-160,1,Utah,106,-225.5,140
76,0,Portland,123,230.5,-150,1,GoldenState,98,-230.5,130
77,0,Sacramento,94,233.0,-130,1,Houston,102,-4.0,110
78,0,Charlotte,112,213.5,400,1,Philadelphia,127,9.5,-500
79,0,OklahomaCity,108,218.5,155,1,Orlando,99,7.5,-175
80,0,NewYork,106,215.0,375,1,Indiana,102,9.0,-450
81,0,Toronto,116,216.0,-115,1,NewOrleans,120,216.0,-105
82,0,Cleveland,96,234.5,200,1,Atlanta,91,6.5,-240
83,0,Boston,122,213.5,-360,1,Detroit,120,-213.5,300
84,0,Washington,123,242.5,270,1,Brooklyn,122,8.5,-330
85,0,LALakers,108,222.5,-500,1,Memphis,94,-222.5,400
86,0,Utah,130,219.5,-220,1,SanAntonio,109,-219.5,190
87,0,Denver,124,231.0,-360,1,Minnesota,109,-231.0,300
88,0,LAClippers,112,218.0,-150,1,Phoenix,107,-218.0,130
89,0,Dallas,108,225.0,-170,1,Chicago,118,-225.0,150
90,0,Portland,122,234.5,-190,1,GoldenState,137,-234.5,170
91,0,Charlotte,101,218.0,290,1,Philadelphia,118,9.5,-350
92,0,Cleveland,83,217.0,190,1,Orlando,103,5.0,-220
93,0,OklahomaCity,90,212.5,350,1,Miami,118,8.0,-420
94,0,NewYork,113,223.0,250,1,Atlanta,108,6.0,-300
95,0,Boston,126,214.0,200,1,Toronto,114,2.5,-240
96,0,Dallas,113,228.0,150,1,Houston,100,3.0,-170
97,0,Indiana,118,218.0,105,1,NewOrleans,116,0.0,-125
98,0,Detroit,115,225.0,1100,1,Milwaukee,125,15.0,-2500
99,0,Sacramento,106,232.0,-125,1,GoldenState,137,-232.0,105
100,0,Utah,96,231.5,-180,1,Brooklyn,130,-3.0,160
101,0,LALakers,94,218.0,-460,1,Memphis,92,-218.0,380
102,0,Minnesota,116,228.0,475,1,Denver,123,12.0,-650
103,0,SanAntonio,116,227.0,260,1,LAClippers,113,8.0,-310
104,0,Chicago,111,233.5,375,1,Portland,108,10.0,-450
105,0,Houston,107,226.0,125,1,Indiana,114,1.5,-145
